Ex:  the article exculpated the mayor

40. exigent:  urgent; pressing; demanding
Ex:  the exigent demand of her contemporaries' music took a toll on her voice

41. extemporaneous:  spoken or done without preparation
Ex:  an extemporaneous speech

42. fallacy:  an invalid or incorrect notion; a mistaken belief
Ex:  the notion that the camera never lies is a fallacy

43. fervent:  having or displaying a passionate intensity or zealous
Ex:  a fervent supporter of the revolution

44. filbuster:  an action such as prolonged speaking which obstructs progress in a legislative assembly in a way that does not technically contravene the required procedures
Ex:  paul has altered the national conversation once before, with his filibuster on drones.

45. flout:  treat with contemptuous disregard, as in rule or convention
Ex:  flout the rules

46. fulminate:  express vehement protest or loudly attack or denounce
Ex:  all fulminated against the new curriculum

47. grandiloquence:  inflated, pompous, or bombastic in style or expression
Ex:  yet a moment like this seems so overblown, so grandiloquent, and so self-consciously heroic that it simply stuns me.

48. hedonism:  the doctrine that pleasure or happiness is the highest good.
Ex:  ibiza was always the place of freedom and hedonism.

49. hubris:  overbearing pride or presumption
Ex:  the self-assured hubris among economists was shaken in the late 1980s

50. hyperbole:  exaggerated statements or claims not meant to be taken literally
Ex:  he vowed revenge with oaths and hyperboles

51. idolatrous:  given to intense or excessive devotion or admiration to something; the worship of a physical object as a god
Ex:  america's idolatrous worship of the auto

52. imminent:  impending
Ex:  they were in imminent danger of being swept away

53. impassive:  not feeling or showing emotion.
Ex:  his cold, impassive face

54. impecunious:  lacking funds; without money
Ex:  a titled but impecunious family

55. imperturbable:  marked by extreme calm, impassivity, steadiness
Ex:  the chef was absolutely imperturbable—even when the kitchen caught on fire

56. impetuous:  characterized by undue haste and lack of thought or deliberation
Ex:  an impetuous display of spending and gambling

57. impunity:  exemption, freedom, immunity from punishment or penalty
Ex:  the impunity enjoyed by military officers implicated in civilian killings

58. inchoate:  just begun and so not fully formed or developed; rudimentary
Ex:  a still inchoate democracy

59. incipient:  beginning to happen or develop
Ex:  he could feel incipient anger building up

60. inert:  unmoving; lethargic; sluggish
Ex:  she lay inert in her bed

61. infelicitous:  1. inapt, inappropriate, or awkward; malapropos; 
2. marked by or producing unhappiness
Ex:  1. an infelicitous remark; 
2. infelicitous circumstances

62. intractable:  opposite of tractable
Ex:  the most intractable issue of our era

63. inured:  accustom(someone) to something esp. something unpleasant
Ex:  these children have been inured to violence

64. inveigle:  persuade someone to do something by means of deception and flattery
Ex:  we cannot inveigle him into putting pen to paper

65. loquacious:  chatty, gabby, full of trivial conversation
Ex:  never loquacious, sarah was now totally lost for words

66. luminous:  adj softly bright or radiant
Ex:  a sky luminous with stars

67. nascent:  coming into being or in early development stages
Ex:  the nascent space industry

68. nebulous:  vague; cloudy; lacking clearly defined form
Ex:  nebulous concepts like quality of life

69. neologism:  a new word, expression, or usage
Ex:  captology is a neologism coined by bj fogg, director of the very soviet-sounding stanford persuasive technology lab.

70. neophyte:  any new participant in some activity; beiginner
Ex:  four-day cooking classes are offered to neophytes and experts

71. noxious:  harmful, injurious
Ex:  they were overcome by noxious fumes

72. obfuscate:  make obscure or unclear deliberately; being evasive
Ex:  the spelling changes will deform some familiar words and obfuscate their etymological origins

73. obtuse:  lacking sharpness of intellect; not clear or precise in thought or expression
Ex:  he wondered if the doctor was being deliberately obtuse

74. occlude:  to obstruct or block
Ex:  your make up occludes your pores

75. odious:  evoking intense aversion or dislike
Ex:  a pretty odious character

76. onerous:  (of a task or responsibility) involving a great deal of effort, trouble, or difficulty
Ex:  he found his duties increasingly onerous

77. opprobium:  a state of extreme dishonour
Ex:  opprobrium isn't an action that leads to disgrace, it's something that comes from the inappropriate thing that was done

78. paean:  a song of praise or triumph
Ex:  a paean of praise for the great poets'

79. pedagogy:  the profession or principles of teaching or instructing
Ex:  pedagogy is recognized as an important profession

80. penurious:  1. (adj) unwilling to spend money 
2. (adj) extremely poor
Ex:  1. a tight-fisted, penurious boss whose wage scale is well below other bandleaders; 
2. a penurious old tramp

81. penury:  a state of extreme poverty or destitution
Ex:  economic downturns, job loss, shopping sprees, and weekends at the high rollers' table in vegas can lead to penury

82. perfunctory:  done routinely and with little interest or care
Ex:  he gave a perfunctory nod

83. perspicacious:  acutely perceptive; having a keen discernment
Ex:  to exhibit perspicacious judgement

84. pervade:  to permeate throughout
Ex:  .............pervasive verb form.......

85. pervasive:  having the tendency to spread throughout
Ex:  the pervasive odor of garlic

86. phlegmatic:  (of a person) having an unemotional and stolidly calm disposition
Ex:  the phlegmatic british character

87. pious:  extremely reverent or devout
Ex:  a deeply pious woman

88. pirate:  to illegally use or reproduce
Ex:  pirated tapes

89. pith:  the choicest or most essential or most vital part of some idea or experience
Ex:  the pith and core of socialism

90. plummet:  to drop sharply or plunge
Ex:  the stock market plummeted

91. polemical:  controversial; argumentative
Ex:  to keep the peace, avoid discussing politics at thanksgiving, which usually deteriorates into a polemical argument with uncle bob

92. prattle:  to babble meaninglessly
Ex:  she began to prattle on about her visit to the dentist

93. precursor:  one that precedes and indicates or announces another
Ex:  a three-stringed precursor of the violin

94. preen:  devote effort to making oneself look attractive and then admire one's appearance
Ex:  adolescents preening in their bedroom mirrors

95. probity:  complete and confirmed integrity; having strong moral principles
Ex:  he enjoys an exaggerated reputation for probity

96. proclivity:  a natural tendency or inclincation
Ex:  he has a proclivity for exaggeration

97. proliferate:  grow rapidly or increase rapidly
Ex:  bunny rabbits have a habit of proliferating

98. pungent:  characterized by strong, sharp smell or taste
Ex:  ammonia has a pungent smell

99. putrefy:  (of a body or other organic matter) decay or rot and produce a fetid smell
Ex:  the body was beginning to putrefy

100. quaff:  drink (something, especially an alcoholic drink) heartily
Ex:  he quaffed pint after pint of good berkshire ale

101. quiescence:  stillness; motionlessness; inactivity; dormancy
Ex:  this method has been shown to induce sleep-like quiescence in adult animals

102. quixotic:  not sensible about practical matters; idealistic and unrealistic
Ex:  as quixotic as a restoration of medieval knighthood

103. rancorous:  characterized by bitter, long-lasting resentment
Ex:  sixteen miserable months of rancorous disputes

104. rarefy:  1. lessen the density or solidity of; 
2. make more subtle or refined
Ex:  air rarefies and degrounds the physical body

105. recalcitrant:  marked by stubborn resistance to authority
Ex:  a class of recalcitrant fifteen-year-olds

106. recant:  to retract esp a previously held belief
Ex:  heretics were burned if they would not recant

107. redoubtable:  (of a person) formidable, especially as an opponent
Ex:  he was a redoubtable debater

108. refulgent:  radiant or as if radiating light
Ex:  you have refulgent eyes

109. rhetoric:  the art or study of effective use of language for communication and persuasion
Ex:  he is using a common figure of rhetoric, hyperbole

110. salubrious:  a fancy way to describe something that’s good for you or is generally favorable to mind or body
Ex:  one of the less salubrious suburbs

111. shard:  a broken piece of brittle artifact
Ex:  shard is simply a broken piece

112. solicitous:  characterised by showing interest or concern
Ex:  she was always solicitous about the welfare of the students

113. squalid:  (of a place) extremely dirty and unpleasant, especially as a result of poverty or neglect
Ex:  the squalid, overcrowded prison

114. stoic:  a person who can endure pain or hardship without showing their feelings or complaining
Ex:  we knew she must be in pain, despite her stoic attitude

115. stupefy:  1. (verb) to stun baffle or amaze; 
2. (verb) to put into a state of little or no sensibility; benumb; put into a stupor
Ex:  1. the amount they spend on clothes would appal their parents and stupefy their grandparents; 
2. the offence of administering drugs to a woman with intent to stupefy her

116. succint:  short and clear; concise
Ex:  you're going to be interviewed on television about your new book and only have a five minute slot, you'll need to come up with a succinct version of your story

117. tacit:  implied by or inferred from actions or statements
Ex:  a tacit agreement

118. tenacity:  persistent determination
Ex:  even the most gifted player won't make it to the big leagues without the tenacity required to make the long, hard journey up from the minors

119. tenuous:  thin, either literally or metaphorically; flimsy
Ex:  a tenuous argument

120. torpid:  mentally or physically inactive; lethargic
Ex:  we sat around in a torpid state

121. trenchant:  sharply perceptive; keen; penetrating
Ex:  trenchant distinctions between right and wrong

122. truculent:  eager or quick to argue or fight; aggressively defiant
Ex:  the truculent attitude of farmers to cheaper imports

123. ubiquitous:  present, appearing, or found everywhere; widespread
Ex:  his ubiquitous influence was felt by all the family

124. unfeigned:  genuine; opposite of feigned
Ex:  her interest in people was unfeigned

125. untenable:  (of theories etc) incapable of being defended or justified
Ex:  if your disagreement with your teacher puts you in an untenable position, you better just admit you made a mistake and get on with it

126. variegated:  having variety of colors
Ex:  variegated yellow bricks

127. vexation:  annoyance; irritation
Ex:  jenna bit her lip in vexation

128. vigilant:  alertly watchful
Ex:  the vigilant eye of the town watch

129. virulent:  1. (adj) bitterly hostile; 
2. (adj) extremely harmful or poisonous(disease/poison)
Ex:  1. a virulent attack on liberalism; 
2. a virulent strain of influenza

130. vituperate:  1. to speak or write in an extremely negative way about someone; 
2. censure severely or angrily
Ex:  on occasion he could stoop to praise one party and vituperate another, but that was his tongue serving his worldly interest

131. zealous:  avid; marked by active interest and enthusiasm
Ex:  the council was extremely zealous in the application of the regulations

