reticent,reserved/quite/reluctant to express one's thghts and feelings; she was extremely reticent about her personal affairs,-1.000000
solicitous,concerned and attentive/eager; she was always solicitus about the welfare of her students,-1.000000
sordid,aoursing moral distaste and contempt or involving immoral and dishonourable actions and motives/dirty or squalid or filthy ; theo story paintys a sordid picture of bribes and scams/the overcrowded housing conditions were sordid and degrading,-1.000000
sporadic,occuring at irregular intervals or only in few places/scattered or isolated; sporadic fighting broke out,-1.000000
squander,to waste esp money or time in a recless irresponsible manner; taxpayer's money was squandered on adminestering the tax,-1.000000
static,not moving or active or motion/at rest; ,-1.000000
stupefy,to stun baffle or amaze/ make someone unable to think or feel properly; administering drugs to women with intent to stupefy her/ the amount of money spent by them  on clothes will stupefy their grandparents,-1.000000
stymie,block or thwart or hinder the progress of; the changes should ot be allowed to stymie the new medical treatments,-1.000000
synthesis,combinations of parts to make a whole,-1.000000
torque,force that causes rotation,-1.000000
tortuous,winding twisiting excessively complicated ; the route is tortuous/a tourtuous argument,-1.000000
truculent,eager or quick to argue or fight/agressively defiant; the truculent attitude of farmers to cheaper imports,-1.000000
vehement,showing strong feeling/passionate or intense; her voice was low but vehement,-1.000000
veracity,confirming to facts and accuracy/truthfulness or honesty; officials were concerned about veracity of the story,-1.000000
virulent,extremely harmful or posinous/ bitterly hostile or antagonistic; a virulent strain or influenza/a virulent attack on liberalism,-1.000000
voracious,having an insatiable apetite for an activity or pursuit/extremely hungry or ravenous; a voracious reader/ a voracious apetite,-1.000000
waver,to move to and fro/ to be unsettled in opinion; the flame wavered in the draught/ his love for her never wavered,-1.000000
